,Match Number,Stadium,Date,Time,Home Team,Away Team,Innings,Batting Team,Over,Runs,Bowler,Batsmen,Commentary,Result
14,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,17.4,W,Alzarri Joseph , Ravindra Jadeja,"SECOND WICKET OFF THE OVER! full length ball, pitching on leg stump, Ravindra Jadeja flicks it off the pads towards deep mid-wicket. Hits it straight down the throat of Vijay Shankar stationed at the mid-wicket fence. He makes no mistake. What a comeback from Joseph after conceding 18 of his first over! WICKET Ravindra Jadeja c Vijay Shankar b Alzarri Joseph (Chennai Super Kings 153 Runs for 6 wickets)",Gujarat Titans Won by 5 Wickets
15,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,17.3,1,Alzarri Joseph , Shivam Dube,"Short of good length ball, pitching outside leg stump, Shivam Dube uncomfortably plays an aggressive pull shot on the front foot for a single",Gujarat Titans Won by 5 Wickets
16,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,17.2,1,Alzarri Joseph , Ravindra Jadeja,"Short of good length ball, pitching outside leg stump, Ravindra Jadeja plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
17,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,17.1,W,Alzarri Joseph , Ruturaj Gaikwad,"SIGH OF RELIEF FOR GT! GAIKWAD IS OUT ! CAUGHT! full toss ball, on leg stump, Ruturaj Gaikwad looks to slog that one across does not get the desired connection. Gets caught at long on by Gill who takes a good catch diving forward. The Umpires are gonna have a look for the height but that one is dipping on the batter and it won't be called a No ball. Gaikwad misses out on what would have been a wonderful century!  WICKET Ruturaj Gaikwad c Shubman Gill b Alzarri Joseph (Chennai Super Kings 151 Runs for 5 wickets)towards Long-On",Gujarat Titans Won by 5 Wickets
18,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,16.6,1,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
19,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,16.5,0,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays a defensive back foot push, no run",Gujarat Titans Won by 5 Wickets
20,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,16.4,1 B,Rashid Khan , Shivam Dube,"Good length ball, pitching on leg stump, Shivam Dube plays an aggressive lofted on drive on the front foot, 1 bye(s) gets added to the extras and is beaten",Gujarat Titans Won by 5 Wickets
21,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,16.3,1,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on leg stump, Ruturaj Gaikwad leg glances it for a single",Gujarat Titans Won by 5 Wickets
22,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,16.2,2,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive pull shot on the back foot for 2 runs",Gujarat Titans Won by 5 Wickets
23,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,16.1,6,Rashid Khan , Ruturaj Gaikwad,"SHORT BALL TAKEN TO THE CLEANERS!  short of good length ball, pitching outside off stump, a googly, Ruturaj Gaikwad spots it early, rocks back and pulls it all the way towards deep mid-wicket for his 9th six of the innings! It is raining sixes from Gaikwad's bat!",Gujarat Titans Won by 5 Wickets
24,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,15.6,2,Alzarri Joseph , Shivam Dube,"Short of good length ball, pitching outside leg stump, Shivam Dube uncomfortably plays an aggressive pull shot on the front foot for 2 runs",Gujarat Titans Won by 5 Wickets
25,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,15.5,2,Alzarri Joseph , Shivam Dube,"Short of good length ball, pitching outside leg stump, Shivam Dube plays an aggressive pull shot on the front foot for 2 runs",Gujarat Titans Won by 5 Wickets
26,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,15.4,1,Alzarri Joseph , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad uncomfortably plays an aggressive lofted off drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
27,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,15.3,1,Alzarri Joseph , Shivam Dube,"Good length ball, pitching outside leg stump, Shivam Dube uncomfortably plays an aggressive lofted on drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
28,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,15.2,0,Alzarri Joseph , Shivam Dube,"Short of good length ball, pitching outside leg stump, Shivam Dube uncomfortably plays an aggressive pull shot on the front foot, no run",Gujarat Titans Won by 5 Wickets
29,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,15.1,1,Alzarri Joseph , Ruturaj Gaikwad,"Full length ball, pitching on off stump, Ruturaj Gaikwad plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
30,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,14.6,1,Hardik Pandya , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
31,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,14.5,0,Hardik Pandya , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad plays a defensive forward push, no run",Gujarat Titans Won by 5 Wickets
32,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,14.4,1,Hardik Pandya , Shivam Dube,"Short of good length ball, pitching outside leg stump, Shivam Dube plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
33,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,14.3,4 LB,Hardik Pandya , Shivam Dube,"Good length ball, pitching outside leg stump, Shivam Dube leg glances it, 4 leg bye(s) gets added to the extras",Gujarat Titans Won by 5 Wickets
34,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,14.2,1,Hardik Pandya , Ruturaj Gaikwad,"Short of good length ball, pitching outside off stump, Ruturaj Gaikwad plays an aggressive pull shot on the front foot for a single",Gujarat Titans Won by 5 Wickets
35,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,14.1,1,Hardik Pandya , Shivam Dube,"Skipper comes back into the attack! short of good length ball, pitching outside leg stump, Shivam Dube plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
36,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,13.6,1,Alzarri Joseph , Shivam Dube,"Good length ball, pitching outside leg stump, Shivam Dube plays a defensive forward push for a single. Joseph bowls an economical over under pressure, and concedes just 4!",Gujarat Titans Won by 5 Wickets
37,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,13.5,0,Alzarri Joseph , Shivam Dube,"Short length ball, pitching outside leg stump, Shivam Dube offers no shot",Gujarat Titans Won by 5 Wickets
38,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,13.4,0,Alzarri Joseph , Shivam Dube,"Good length ball, pitching outside off stump, Shivam Dube plays an aggressive lofted off drive on the front foot and is beaten",Gujarat Titans Won by 5 Wickets
39,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,13.3,1,Alzarri Joseph , Ruturaj Gaikwad,"Full length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive off drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
40,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,13.2,1,Alzarri Joseph , Shivam Dube,"Short of good length ball, pitching outside leg stump, Shivam Dube plays a defensive shot on back foot for a single",Gujarat Titans Won by 5 Wickets
41,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,13.1,1,Alzarri Joseph , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive on drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
42,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,12.6,0,Josh Little , Shivam Dube,"Good length ball, pitching outside off stump, Shivam Dube plays a defensive forward push, no run",Gujarat Titans Won by 5 Wickets
43,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,12.5,W,Josh Little , Ambati Rayudu,"FIRST IPL WICKET FOR THE IRISH JOSH LITTLE!  good length ball, pitching on leg stump, tails back in, Ambati Rayudu comes down the track to hit it over extra covers but misses it completely. The Stumps are uprooted! What a moment for the IRISHMAN!  WICKET Ambati Rayudu b Josh Little (Chennai Super Kings 121 Runs for 4 wickets)",Gujarat Titans Won by 5 Wickets
44,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,12.4,1,Josh Little , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive off drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
45,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,12.3,4,Josh Little , Ruturaj Gaikwad,"WHACKED ACROSS! good length ball, pitching outside leg stump, Ruturaj Gaikwad plays smashes it across towards deep mid-wicket where Kane Williamson tries to keep the ball in play but fails to do so. This is not looking good for the Kiwi, he might have injured himself while trying to keep the ball in play. ",Gujarat Titans Won by 5 Wickets
46,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,12.2,1,Josh Little , Ambati Rayudu,"Good length ball, pitching on leg stump, Ambati Rayudu uncomfortably plays an aggressive pull shot on the front foot for a single",Gujarat Titans Won by 5 Wickets
47,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,12.1,1,Josh Little , Ruturaj Gaikwad,"Short of good length ball, pitching on leg stump, Ruturaj Gaikwad plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
48,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,11.6,6,Yash Dayal , Ambati Rayudu,"RAYUDU JOIN THE PARTY! SIX! good length ball, pitching outside leg stump, a back of the hand slower ball, Rayudu waits on it and heaves it across towards deep mid-wicket for six runs. This is his first one of the night.",Gujarat Titans Won by 5 Wickets
49,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,11.5,1,Yash Dayal , Ruturaj Gaikwad,"Good length ball, pitching on leg stump, Ruturaj Gaikwad plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
50,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,11.4,0,Yash Dayal , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad aggressively plays a square drive on the front foot, straight to the fielder",Gujarat Titans Won by 5 Wickets
51,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,11.3,6,Yash Dayal , Ruturaj Gaikwad,"THROUGH THE LINE AND ALL THE WAY! 8th SIX FOR GAIKWAD!  full length ball, pitching on off stump, Ruturaj Gaikwad picks the back of the hand slower ball and lofts it towards long off for another maximum! Gaikwad has answers to every puzzle thrown by GT! ",Gujarat Titans Won by 5 Wickets
52,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,11.2,0,Yash Dayal , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive off drive on the front foot, straight to the fielder",Gujarat Titans Won by 5 Wickets
53,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,11.1,1,Yash Dayal , Ambati Rayudu,"Full toss ball, outside off stump, Ambati Rayudu uncomfortably steps down and plays an aggressive lofted off drive for a single",Gujarat Titans Won by 5 Wickets
54,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,10.6,6,Josh Little , Ruturaj Gaikwad,"HE IS MAKING BATTING LOOK EASY! short of good length ball, pitching outside leg stump, Ruturaj Gaikwad pounces on the short of length delivery, pulls it 20 rows back towards the backward square leg boundary! ",Gujarat Titans Won by 5 Wickets
55,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,10.5,0,Josh Little , Ruturaj Gaikwad,"Good length ball, pitching outside leg stump, Ruturaj Gaikwad uncomfortably steps down and plays an aggressive off drive, no run",Gujarat Titans Won by 5 Wickets
56,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,10.4,1,Josh Little , Ambati Rayudu,"Short of good length ball, pitching outside leg stump, Ambati Rayudu steps down and plays an aggressive pull shot for a single",Gujarat Titans Won by 5 Wickets
57,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,10.3,0,Josh Little , Ambati Rayudu,"Short of good length ball, pitching outside leg stump, Ambati Rayudu plays an aggressive pull shot on the back foot and is beaten",Gujarat Titans Won by 5 Wickets
58,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,10.2,0,Josh Little , Ambati Rayudu,"Good length ball, pitching outside off stump, Ambati Rayudu plays a defensive back foot push and is beaten",Gujarat Titans Won by 5 Wickets
59,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,10.1,0,Josh Little , Ambati Rayudu,"Josh Little comes back into the attack! good length ball, pitching on off stump, Ambati Rayudu plays a defensive forward push, no run",Gujarat Titans Won by 5 Wickets
60,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,9.6,0,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays a defensive back foot push, no run",Gujarat Titans Won by 5 Wickets
61,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,9.5,0,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad steps down and plays an aggressive off drive, straight to the fielder",Gujarat Titans Won by 5 Wickets
62,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,9.4,1,Rashid Khan , Ambati Rayudu,"Full length ball, pitching on off stump, Ambati Rayudu plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
63,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,9.3,1,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on leg stump, Ruturaj Gaikwad plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
64,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,9.2,1,Rashid Khan , Ambati Rayudu,"Good length ball, pitching outside off stump, Ambati Rayudu plays an aggressive cut shot for a single",Gujarat Titans Won by 5 Wickets
65,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,9.1,0,Rashid Khan , Ambati Rayudu,"Good length ball, pitching outside off stump, Ambati Rayudu plays a defensive back foot push, no run",Gujarat Titans Won by 5 Wickets
66,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,8.6,6,Alzarri Joseph , Ruturaj Gaikwad,"WHAT A SHOT! short of good length ball, pitching outside off stump, Ruturaj Gaikwad once again sets himself up for the pull shot and once again connects well. Clears the square leg boundary with ease! The form he is in, it is a 100 % going all the way. ",Gujarat Titans Won by 5 Wickets
67,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,8.5,0,Alzarri Joseph , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad glides it, no run",Gujarat Titans Won by 5 Wickets
68,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,8.4,6,Alzarri Joseph , Ruturaj Gaikwad,"HALF CENTURY IN NO TIME! short of good length ball, pitching outside off stump, Ruturaj Gaikwad plays the swivel pull towards deep backward square leg and collects six runs. That went many a mile! Brings up his fifty in just 23 balls!",Gujarat Titans Won by 5 Wickets
69,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,8.3,0,Alzarri Joseph , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad plays a forward defensive shot, no run",Gujarat Titans Won by 5 Wickets
70,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,8.2,0,Alzarri Joseph , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad aggressively plays a square drive on the front foot, straight to the fielder",Gujarat Titans Won by 5 Wickets
71,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,8.1,6,Alzarri Joseph , Ruturaj Gaikwad,"FLICKED ALL THE WAY! good length ball, pitching on leg stump, Ruturaj Gaikwad clips it off his pads and hits it all the way towards backward square leg for half a dozen! This is clean striking from Gaikwad! ",Gujarat Titans Won by 5 Wickets
72,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,7.6,1,Rashid Khan , Ruturaj Gaikwad,"Short of good length ball, pitching outside off stump, Ruturaj Gaikwad plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
73,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,7.5,1,Rashid Khan , Ambati Rayudu,"Good length ball, pitching on off stump, Ambati Rayudu plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
74,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,7.4,W,Rashid Khan , Ben Stokes,"RASHID GETS THE DANGERMAN STOKES! good length ball, pitching on off stump, Ben Stokes looking to cut that one gets an outside edge which is grasped by the Wicket Keeper Saha. Once again Khan gets a dismissal after hit for a boundary!  WICKET Ben Stokes c Wriddhiman Saha b Rashid Khan (Chennai Super Kings 70 Runs for 3 wickets)",Gujarat Titans Won by 5 Wickets
75,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,7.3,4,Rashid Khan , Ben Stokes,"HAMMERED DOWN THE GROUND! full length ball, pitching outside off stump, Ben Stokes backs away and hits it straight down the ground. There is no stopping that one, races away to the fence. ",Gujarat Titans Won by 5 Wickets
76,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,7.2,1,Rashid Khan , Ruturaj Gaikwad,"Good length ball, pitching on off stump, Ruturaj Gaikwad plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
77,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,7.1,1,Rashid Khan , Ben Stokes,"Good length ball, pitching on leg stump, Ben Stokes plays a defensive back foot push for a single",Gujarat Titans Won by 5 Wickets
78,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,6.6,0,Hardik Pandya , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad plays a forward defensive shot, no run",Gujarat Titans Won by 5 Wickets
79,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,6.5,0,Hardik Pandya , Ruturaj Gaikwad,"Good length ball, pitching outside off stump, Ruturaj Gaikwad plays an aggressive off drive on the front foot, straight to the fielder",Gujarat Titans Won by 5 Wickets
80,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,6.4,6,Hardik Pandya , Ruturaj Gaikwad,"CONSECUTIVE SIXES! good length ball, pitching outside off stump, Ruturaj Gaikwad once again targets the covers region, once again takes the aerial route and gets the same result. SIX!",Gujarat Titans Won by 5 Wickets
